               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.024077,           0.0074456,           0.0098929,             0.99643,             0.98818,               0.995,              0.7102,            0.014851,           0.0030773,           0.0012494,           0.0072676,           0.0072676,           0.0072676
                 140,            0.021838,           0.0081907,           0.0054776,             0.99671,             0.98712,               0.995,             0.85263,            0.009935,           0.0027253,             0.00135,           0.0072478,           0.0072478,           0.0072478
                 141,            0.021242,           0.0071999,           0.0079146,              0.9971,             0.98742,               0.995,             0.77878,            0.012294,           0.0028982,            0.001306,            0.007228,            0.007228,            0.007228
                 142,            0.020481,           0.0075383,           0.0071951,             0.99319,             0.99889,               0.995,             0.81394,            0.011287,           0.0027112,           0.0011672,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021522,           0.0068002,           0.0053032,              0.9973,                   1,               0.995,              0.7205,             0.01446,           0.0029985,           0.0011895,           0.0071884,           0.0071884,           0.0071884
                 144,            0.020593,           0.0065679,           0.0087843,             0.99617,                   1,               0.995,             0.80106,             0.01061,           0.0027858,           0.0014782,           0.0071686,           0.0071686,           0.0071686
                 145,            0.022451,           0.0064787,           0.0066862,             0.83677,                   1,             0.96953,             0.69358,            0.016601,           0.0029422,           0.0018036,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022546,           0.0069879,           0.0076827,             0.99468,                   1,               0.995,             0.85453,            0.010675,           0.0027639,           0.0017078,            0.007129,            0.007129,            0.007129
                 147,            0.021232,           0.0071751,           0.0066517,              0.9971,                   1,               0.995,             0.77775,            0.010746,           0.0027794,           0.0014338,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023358,           0.0076529,           0.0044505,             0.99718,                   1,               0.995,             0.87531,            0.011704,           0.0027324,           0.0015562,           0.0070894,           0.0070894,           0.0070894
                 149,            0.021641,           0.0081604,            0.007763,             0.99722,                   1,               0.995,             0.87682,            0.010907,           0.0027881,           0.0014753,           0.0070696,           0.0070696,           0.0070696
                 150,             0.02076,           0.0072486,            0.006265,             0.99696,                   1,               0.995,              0.8611,            0.010983,           0.0026421,           0.0015154,           0.0070498,           0.0070498,           0.0070498
