Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
168,00:00:02,2,"(282, 0, 779, 199)","(603, 81, 718, 126)",GJ06P81816,0.4166462265610115,E:/github/license_plate_detections/vehicle_image/168_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/168_2_plate_rotated.jpg
169,00:00:02,2,"(272, 0, 769, 201)","(591, 82, 708, 128)",GJ06PN1816,0.20034630615993743,E:/github/license_plate_detections/vehicle_image/169_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/169_2_plate_rotated.jpg
170,00:00:02,2,"(270, 0, 764, 202)","(587, 83, 703, 129)",GJ06PH1816,0.3615864125565925,E:/github/license_plate_detections/vehicle_image/170_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/170_2_plate_rotated.jpg
171,00:00:02,2,"(270, 0, 764, 202)","(587, 83, 703, 129)",GJ06PH1816,0.3711738617856137,E:/github/license_plate_detections/vehicle_image/171_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/171_2_plate_rotated.jpg
172,00:00:02,2,"(262, 0, 754, 205)","(578, 85, 692, 130)",GJ06PN1816,0.2736647026693508,E:/github/license_plate_detections/vehicle_image/172_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/172_2_plate_rotated.jpg
173,00:00:02,2,"(257, 0, 749, 206)","(573, 86, 687, 132)",GJ06P81816,0.21638600462070617,E:/github/license_plate_detections/vehicle_image/173_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/173_2_plate_rotated.jpg
174,00:00:02,2,"(252, 0, 743, 209)","(566, 88, 681, 134)",GJ06PN1816,0.28099559410271174,E:/github/license_plate_detections/vehicle_image/174_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/174_2_plate_rotated.jpg
175,00:00:02,2,"(247, 0, 736, 213)","(561, 90, 675, 136)",GJ06PN1816,0.21322340825387695,E:/github/license_plate_detections/vehicle_image/175_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/175_2_plate_rotated.jpg
177,00:00:02,2,"(238, 0, 725, 217)","(548, 93, 663, 139)",GJ06PN1816,0.6064433121676308,E:/github/license_plate_detections/vehicle_image/177_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/177_2_plate_rotated.jpg
178,00:00:02,2,"(234, 0, 720, 218)","(544, 94, 659, 140)",GJ06PN1816,0.20914468752177262,E:/github/license_plate_detections/vehicle_image/178_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/178_2_plate_rotated.jpg
179,00:00:02,2,"(230, 0, 714, 220)","(539, 95, 653, 142)",GJ06PN1816,0.23507268005051707,E:/github/license_plate_detections/vehicle_image/179_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/179_2_plate_rotated.jpg
180,00:00:03,2,"(227, 0, 710, 221)","(534, 96, 648, 143)",GJ06PN1816,0.14960966659840633,E:/github/license_plate_detections/vehicle_image/180_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/180_2_plate_rotated.jpg
181,00:00:03,2,"(223, 0, 706, 222)","(529, 97, 644, 144)",GJ06PQ1816,0.2687952264630647,E:/github/license_plate_detections/vehicle_image/181_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/181_2_plate_rotated.jpg
183,00:00:03,2,"(216, 0, 696, 227)","(520, 100, 633, 147)",GJ06PN1816,0.28583130885101277,E:/github/license_plate_detections/vehicle_image/183_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/183_2_plate_rotated.jpg
184,00:00:03,2,"(211, 0, 692, 227)","(515, 102, 628, 148)",GJ06PN1816,0.417649657927984,E:/github/license_plate_detections/vehicle_image/184_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/184_2_plate_rotated.jpg
185,00:00:03,2,"(208, 0, 688, 229)","(509, 103, 624, 150)",GJ06PN1816,0.33645782661436774,E:/github/license_plate_detections/vehicle_image/185_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/185_2_plate_rotated.jpg
186,00:00:03,2,"(205, 0, 683, 231)","(505, 104, 620, 151)",GJ06PN1816,0.5302053610711611,E:/github/license_plate_detections/vehicle_image/186_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/186_2_plate_rotated.jpg
187,00:00:03,2,"(201, 0, 677, 232)","(500, 105, 614, 152)",GJ06PN1816,0.17368981571816122,E:/github/license_plate_detections/vehicle_image/187_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/187_2_plate_rotated.jpg
188,00:00:03,2,"(198, 0, 672, 234)","(494, 107, 608, 154)",GJ06PH1816,0.5151867083433994,E:/github/license_plate_detections/vehicle_image/188_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/188_2_plate_rotated.jpg
189,00:00:03,2,"(195, 0, 667, 235)","(489, 109, 604, 156)",GJ06PH1816,0.4011704693865232,E:/github/license_plate_detections/vehicle_image/189_2_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/189_2_plate_rotated.jpg
